%TITLE%
 LIX   141013/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
  307.00,   9467.94,    -32.90,    -51.90,  -9999.00,  -9999.00
  305.00,   9513.96,    -33.30,    -55.30,  -9999.00,  -9999.00
  300.00,   9630.00,    -34.30,    -54.30,    250.00,     43.01
  291.00,   9841.09,    -36.30,    -56.30,  -9999.00,  -9999.00
  282.00,  10057.08,    -38.10,    -54.10,  -9999.00,  -9999.00
  279.00,  10130.24,    -38.70,    -46.70,  -9999.00,  -9999.00
  276.00,  10204.00,    -39.30,    -46.30,  -9999.00,  -9999.00
  265.00,  10479.72,    -41.70,    -50.70,  -9999.00,  -9999.00
  259.00,  10633.77,    -42.90,    -56.90,  -9999.00,  -9999.00
  254.00,  10764.21,    -44.10,    -60.10,  -9999.00,  -9999.00
  250.00,  10870.00,    -44.70,    -63.70,    260.00,     56.00
  246.00,  10978.01,    -45.50,    -65.50,  -9999.00,  -9999.00
  209.00,  12047.52,    -53.90,    -67.90,  -9999.00,  -9999.00
  200.00,  12330.00,    -55.30,    -70.30,    260.00,     64.01
  194.78,  12497.00,    -56.31,    -71.31,    270.00,     65.00
  191.00,  12620.56,    -57.05,    -72.05,    270.00,     65.00
  181.00,  12959.91,    -59.10,    -74.10,  -9999.00,  -9999.00
  168.30,  13411.00,    -61.23,    -76.80,    245.00,     54.99
  159.00,  13763.30,    -62.90,    -78.90,  -9999.00,  -9999.00
  157.00,  13841.11,    -62.70,    -79.70,  -9999.00,  -9999.00
  150.00,  14120.00,    -65.10,    -81.10,    245.00,     58.99
  146.00,  14284.67,    -66.10,    -82.10,  -9999.00,  -9999.00
  140.00,  14539.84,    -65.90,    -81.90,  -9999.00,  -9999.00
  137.93,  14630.00,    -66.66,    -82.66,    250.00,     52.00
  133.00,  14849.93,    -68.50,    -84.50,  -9999.00,  -9999.00
  129.00,  15033.38,    -68.50,    -84.50,  -9999.00,  -9999.00
  126.00,  15174.25,    -69.90,    -85.90,  -9999.00,  -9999.00
  124.62,  15240.00,    -69.90,    -85.90,    245.00,     44.00
  123.00,  15318.02,    -69.90,    -85.90,  -9999.00,  -9999.00
  114.00,  15767.13,    -73.70,    -86.70,    235.00,     47.01
  112.40,  15850.00,    -73.70,    -86.48,    235.00,     47.01
  107.00,  16138.13,    -73.70,    -85.70,  -9999.00,  -9999.00
  106.71,  16154.00,    -73.13,    -85.41,    230.00,     27.99
  106.00,  16193.38,    -71.70,    -84.70,  -9999.00,  -9999.00
  104.00,  16305.97,    -71.90,    -84.90,  -9999.00,  -9999.00
  103.00,  16363.30,    -70.10,    -83.10,  -9999.00,  -9999.00
  101.00,  16480.46,    -69.10,    -83.10,  -9999.00,  -9999.00
  100.00,  16540.00,    -69.50,    -83.50,    250.00,     17.00
   84.50,  17535.51,    -72.90,    -87.90,  -9999.00,  -9999.00
   82.40,  17683.75,    -70.90,    -86.90,  -9999.00,  -9999.00
   75.50,  18200.42,    -71.70,    -88.70,  -9999.00,  -9999.00
   74.39,  18288.00,    -71.07,    -88.49,    220.00,     25.00
   70.67,  18593.00,    -68.87,    -87.76,    255.00,     16.01
   70.40,  18615.87,    -68.70,    -87.70,  -9999.00,  -9999.00
   70.00,  18650.00,    -68.30,    -87.30,    250.00,     16.01
   69.40,  18701.85,    -66.90,    -86.90,  -9999.00,  -9999.00
   67.18,  18898.00,    -67.82,    -87.82,    220.00,      4.00
   67.00,  18914.04,    -67.90,    -87.90,  -9999.00,  -9999.00
   66.10,  18996.13,    -64.10,    -86.10,  -9999.00,  -9999.00
   60.82,  19507.00,    -63.46,    -87.87,    175.00,     10.00
   59.60,  19631.46,    -63.30,    -88.30,  -9999.00,  -9999.00
   57.80,  19821.11,    -60.90,    -87.90,  -9999.00,  -9999.00
   55.12,  20117.00,    -60.57,    -88.40,     80.00,      0.99
   54.60,  20175.69,    -60.50,    -88.50,  -9999.00,  -9999.00
   51.60,  20525.85,    -62.90,    -89.90,  -9999.00,  -9999.00
   50.00,  20720.00,    -62.70,    -89.70,    355.00,      8.99
   46.60,  21152.07,    -63.70,    -90.70,  -9999.00,  -9999.00
   45.22,  21336.00,    -63.34,    -90.34,    115.00,      8.99
   43.03,  21641.00,    -62.74,    -89.74,    145.00,     17.00
   42.20,  21760.86,    -62.50,    -89.50,  -9999.00,  -9999.00
   40.96,  21946.00,    -61.32,    -89.16,    150.00,     14.01
   39.30,  22202.04,    -59.70,    -88.70,  -9999.00,  -9999.00
   35.00,  22922.13,    -61.30,    -89.30,  -9999.00,  -9999.00
   31.10,  23661.80,    -56.50,    -86.50,  -9999.00,  -9999.00
   30.00,  23890.00,    -56.10,    -87.10,    115.00,      2.00
   29.12,  24079.00,    -55.83,    -86.83,    150.00,      0.99
   27.76,  24384.00,    -55.39,    -86.39,    350.00,      4.99
   27.50,  24444.89,    -55.30,    -86.30,  -9999.00,  -9999.00
   26.80,  24609.17,    -56.50,    -86.50,  -9999.00,  -9999.00
   26.47,  24689.00,    -56.05,    -86.30,     15.00,     14.01
   25.50,  24926.41,    -54.70,    -85.70,  -9999.00,  -9999.00
   25.23,  24994.00,    -54.96,    -85.74,     35.00,     15.00
   24.30,  25234.37,    -55.90,    -85.90,  -9999.00,  -9999.00
   24.06,  25298.00,    -55.64,    -85.79,     75.00,     14.01
   21.89,  25908.00,    -53.11,    -84.72,     85.00,     13.00
   20.00,  26490.00,    -50.70,    -83.70,    145.00,     10.00
   19.60,  26621.90,    -49.30,    -82.30,  -9999.00,  -9999.00
